      Comparison1   Comparison2  AlexNet_conv1  AlexNet_conv2  AlexNet_conv3  AlexNet_conv4  AlexNet_conv5  AlexNet_fc6  AlexNet_fc7  AlexNet_fc8  AlexNet_norm1  AlexNet_norm2  AlexNet_pool1  AlexNet_pool2  AlexNet_pool5  AlexNet_prob
76    o2_t2_ap_d2   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
77    o2_t2_ap_d2   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
78    o2_t2_mf_d1   o2_t2_mf_d2              1              0              0              0              0            1            1            1              0              0              0              0              0             0
79    o2_t2_mf_d1   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
80    o2_t2_mf_d1   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
81    o2_t2_mf_d2   o2_t2_rp_d1              0              0              0              0              0            1            1            1              0              1              0              1              1             1
82    o2_t2_mf_d2   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
83    o2_t2_rp_d1   o2_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
84    o3_t1_cs_d1   o3_t1_cs_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
85    o3_t1_cs_d1   o3_t2_ap_d1              0              0              0              0              0            0            1            1              0              1              0              1              0             1
86    o3_t1_cs_d1   o3_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
87    o3_t1_cs_d1   o3_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
88    o3_t1_cs_d1   o3_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
89    o3_t1_cs_d1   o3_t2_rp_d1              1              0              0              0              0            0            0            0              0              0              0              0              0             1
90    o3_t1_cs_d1   o3_t2_rp_d2              1              1              0              0              0            0            0            0              1              0              1              0              0             0
91    o3_t1_cs_d2   o3_t2_ap_d1              0              0              1              1              0            0            1            0              1              1              0              1              0             1
92    o3_t1_cs_d2   o3_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
93    o3_t1_cs_d2   o3_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
94    o3_t1_cs_d2   o3_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
95    o3_t1_cs_d2   o3_t2_rp_d1              1              0              0              0              0            0            0            0              0              0              0              0              0             1
96    o3_t1_cs_d2   o3_t2_rp_d2              1              1              0              0              0            0            0            0              1              0              1              0              0             0
97    o3_t2_ap_d1   o3_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
98    o3_t2_ap_d1   o3_t2_mf_d1              1              0              0              0              0            0            0            0              0              0              0              0              0             1
99    o3_t2_ap_d1   o3_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
100   o3_t2_ap_d1   o3_t2_rp_d1              1              0              0              0              0            0            0            0              0              0              1              0              0             1
101   o3_t2_ap_d1   o3_t2_rp_d2              1              1              0              0              0            0            0            0              1              0              1              0              0             0
102   o3_t2_ap_d2   o3_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
103   o3_t2_ap_d2   o3_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
104   o3_t2_ap_d2   o3_t2_rp_d1              1              1              0              0              0            0            0            0              1              0              1              0              0             1
105   o3_t2_ap_d2   o3_t2_rp_d2              1              1              1              1              1            0            0            0              1              1              1              1              0             0
106   o3_t2_mf_d1   o3_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
107   o3_t2_mf_d1   o3_t2_rp_d1              1              1              0              0              0            0            0            0              1              0              1              0              0             1
108   o3_t2_mf_d1   o3_t2_rp_d2              1              1              1              1              0            0            0            0              1              1              1              1              0             0
109   o3_t2_mf_d2   o3_t2_rp_d1              1              1              0              0              0            0            0            0              1              0              1              0              0             1
110   o3_t2_mf_d2   o3_t2_rp_d2              1              1              1              1              1            0            0            0              1              1              1              1              1             0
111   o3_t2_rp_d1   o3_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
112   o4_t1_cs_d1   o4_t1_cs_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
113   o4_t1_cs_d1   o4_t2_ap_d1              0              0              1              1              1            1            1            1              0              1              1              1              1             0
114   o4_t1_cs_d1   o4_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
115   o4_t1_cs_d1   o4_t2_mf_d1              0              0              0              0              0            0            0            1              0              0              0              0              0             0
116   o4_t1_cs_d1   o4_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              1             0
117   o4_t1_cs_d1   o4_t2_rp_d1              0              0              0              0              0            0            0            1              0              0              0              0              0             0
118   o4_t1_cs_d1   o4_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
119   o4_t1_cs_d2   o4_t2_ap_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
120   o4_t1_cs_d2   o4_t2_ap_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
121   o4_t1_cs_d2   o4_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
122   o4_t1_cs_d2   o4_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
123   o4_t1_cs_d2   o4_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
124   o4_t1_cs_d2   o4_t2_rp_d2              1              1              0              1              0            1            1            1              1              0              0              0              0             1
125   o4_t2_ap_d1   o4_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
126   o4_t2_ap_d1   o4_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
127   o4_t2_ap_d1   o4_t2_mf_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             0
128   o4_t2_ap_d1   o4_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
129   o4_t2_ap_d1   o4_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
130   o4_t2_ap_d2   o4_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
131   o4_t2_ap_d2   o4_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
132   o4_t2_ap_d2   o4_t2_rp_d1              0              0              0              0              1            1            1            1              0              0              1              0              1             1
133   o4_t2_ap_d2   o4_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
134   o4_t2_mf_d1   o4_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
135   o4_t2_mf_d1   o4_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
136   o4_t2_mf_d1   o4_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
137   o4_t2_mf_d2   o4_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
138   o4_t2_mf_d2   o4_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             1
139   o4_t2_rp_d1   o4_t2_rp_d2              1              1              1              1              1            0            0            0              1              1              1              1              1             1
140   o5_t1_cs_d1   o5_t1_cs_d2              1              1              1              1              1            1            1            0              1              1              1              1              1             0
141   o5_t1_cs_d1   o5_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
142   o5_t1_cs_d1   o5_t2_ap_d2              0              0              0              0              0            0            0            0              1              0              0              0              0             0
143   o5_t1_cs_d1   o5_t2_mf_d1              0              0              1              1              1            1            1            1              0              1              0              1              1             0
144   o5_t1_cs_d1   o5_t2_mf_d2              1              1              1              1              1            1            1            0              1              1              1              1              1             0
145   o5_t1_cs_d1   o5_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             0
146   o5_t1_cs_d1   o5_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
147   o5_t1_cs_d2   o5_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
148   o5_t1_cs_d2   o5_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
149   o5_t1_cs_d2   o5_t2_mf_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             0
150   o5_t1_cs_d2   o5_t2_mf_d2              0              0              1              1              1            1            1            1              0              1              0              1              1             0
151   o5_t1_cs_d2   o5_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             1
152   o5_t1_cs_d2   o5_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
153   o5_t2_ap_d1   o5_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
154   o5_t2_ap_d1   o5_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
155   o5_t2_ap_d1   o5_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
156   o5_t2_ap_d1   o5_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
157   o5_t2_ap_d1   o5_t2_rp_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
158   o5_t2_ap_d2   o5_t2_mf_d1              0              1              1              1              1            1            1            1              0              1              0              1              1             1
159   o5_t2_ap_d2   o5_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
160   o5_t2_ap_d2   o5_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
161   o5_t2_ap_d2   o5_t2_rp_d2              0              0              0              0              0            0            1            0              0              0              0              0              0             1
162   o5_t2_mf_d1   o5_t2_mf_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
163   o5_t2_mf_d1   o5_t2_rp_d1              1              0              0              0              0            0            1            1              0              0              0              0              0             1
164   o5_t2_mf_d1   o5_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
165   o5_t2_mf_d2   o5_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             1
166   o5_t2_mf_d2   o5_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
167   o5_t2_rp_d1   o5_t2_rp_d2              0              1              1              1              1            0            0            0              1              1              1              1              0             0
168   o6_t1_cs_d1   o6_t1_cs_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
169   o6_t1_cs_d1   o6_t2_ap_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
170   o6_t1_cs_d1   o6_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
171   o6_t1_cs_d1   o6_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
172   o6_t1_cs_d1   o6_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
173   o6_t1_cs_d1   o6_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
174   o6_t1_cs_d1   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
175   o6_t1_cs_d2   o6_t2_ap_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
176   o6_t1_cs_d2   o6_t2_ap_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
177   o6_t1_cs_d2   o6_t2_mf_d1              1              1              1              1              1            1            0            0              1              1              1              1              1             1
178   o6_t1_cs_d2   o6_t2_mf_d2              1              1              1              1              1            1            1            0              1              1              1              1              1             0
179   o6_t1_cs_d2   o6_t2_rp_d1              1              1              1              1              1            1            1            0              1              0              1              1              1             1
180   o6_t1_cs_d2   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
181   o6_t2_ap_d1   o6_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
182   o6_t2_ap_d1   o6_t2_mf_d1              1              1              0              1              0            0            0            0              1              0              1              0              0             1
183   o6_t2_ap_d1   o6_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              1              0              0             0
184   o6_t2_ap_d1   o6_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
185   o6_t2_ap_d1   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
186   o6_t2_ap_d2   o6_t2_mf_d1              1              1              1              1              1            0            0            0              1              1              1              1              1             1
187   o6_t2_ap_d2   o6_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              1              0              0             0
188   o6_t2_ap_d2   o6_t2_rp_d1              0              0              0              0              0            0            0            0              0              0              0              0              1             1
189   o6_t2_ap_d2   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
190   o6_t2_mf_d1   o6_t2_mf_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
191   o6_t2_mf_d1   o6_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             0
192   o6_t2_mf_d1   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
193   o6_t2_mf_d2   o6_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              1             1
194   o6_t2_mf_d2   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
195   o6_t2_rp_d1   o6_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
196   o7_t1_cs_d1   o7_t1_cs_d2              0              0              0              0              0            0            0            1              0              0              0              0              0             0
197   o7_t1_cs_d1   o7_t2_ap_d1              0              0              1              0              1            1            1            1              0              0              0              0              1             0
198   o7_t1_cs_d1   o7_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
199   o7_t1_cs_d1   o7_t2_mf_d1              0              0              1              0              0            1            1            1              0              0              0              1              1             0
200   o7_t1_cs_d1   o7_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              0              1              0             0
201   o7_t1_cs_d1   o7_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             0
202   o7_t1_cs_d1   o7_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
203   o7_t1_cs_d2   o7_t2_ap_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
204   o7_t1_cs_d2   o7_t2_ap_d2              1              1              1              1              1            0            0            0              1              1              1              1              0             1
205   o7_t1_cs_d2   o7_t2_mf_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             1
206   o7_t1_cs_d2   o7_t2_mf_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             1
207   o7_t1_cs_d2   o7_t2_rp_d1              0              0              0              0              1            1            1            1              0              0              0              1              1             1
208   o7_t1_cs_d2   o7_t2_rp_d2              0              1              1              1              1            0            0            0              1              1              1              1              1             1
209   o7_t2_ap_d1   o7_t2_ap_d2              1              0              0              0              0            0            0            0              0              0              0              0              0             1
210   o7_t2_ap_d1   o7_t2_mf_d1              0              0              0              0              0            0            1            0              0              1              0              1              1             0
211   o7_t2_ap_d1   o7_t2_mf_d2              0              0              0              0              0            0            0            0              0              0              1              1              0             1
212   o7_t2_ap_d1   o7_t2_rp_d1              0              0              0              0              0            0            1            0              0              0              0              0              0             1
213   o7_t2_ap_d1   o7_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
214   o7_t2_ap_d2   o7_t2_mf_d1              0              1              1              1              1            1            1            1              1              1              1              1              1             0
215   o7_t2_ap_d2   o7_t2_mf_d2              0              1              1              1              1            1            1            1              1              1              1              1              1             1
216   o7_t2_ap_d2   o7_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              1             1
217   o7_t2_ap_d2   o7_t2_rp_d2              0              0              1              1              1            1            1            1              0              1              1              1              1             0
218   o7_t2_mf_d1   o7_t2_mf_d2              0              1              0              1              1            0            0            0              1              0              1              0              0             1
219   o7_t2_mf_d1   o7_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             1
220   o7_t2_mf_d1   o7_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              1              0              0             1
221   o7_t2_mf_d2   o7_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
222   o7_t2_mf_d2   o7_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
223   o7_t2_rp_d1   o7_t2_rp_d2              1              1              1              1              1            0            0            0              1              1              1              1              0             0
224   o8_t1_cs_d1   o8_t1_cs_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
225   o8_t1_cs_d1   o8_t2_ap_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             0
226   o8_t1_cs_d1   o8_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
227   o8_t1_cs_d1   o8_t2_mf_d1              0              0              0              0              0            0            0            1              0              0              0              0              0             0
228   o8_t1_cs_d1   o8_t2_mf_d2              1              0              0              0              0            0            0            0              0              0              1              0              0             0
229   o8_t1_cs_d1   o8_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             0
230   o8_t1_cs_d1   o8_t2_rp_d2              0              0              0              0              0            0            0            1              0              0              0              0              0             0
231   o8_t1_cs_d2   o8_t2_ap_d1              1              1              1              1              1            0            0            0              1              1              1              1              1             0
232   o8_t1_cs_d2   o8_t2_ap_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
233   o8_t1_cs_d2   o8_t2_mf_d1              0              0              0              0              0            0            0            0              0              0              0              0              0             1
234   o8_t1_cs_d2   o8_t2_mf_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
235   o8_t1_cs_d2   o8_t2_rp_d1              0              0              0              0              0            1            1            0              0              0              0              0              0             1
236   o8_t1_cs_d2   o8_t2_rp_d2              0              0              0              0              0            0            0            0              0              0              0              0              0             0
237   o8_t2_ap_d1   o8_t2_ap_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
238   o8_t2_ap_d1   o8_t2_mf_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
239   o8_t2_ap_d1   o8_t2_mf_d2              1              1              1              1              0            1            1            1              1              1              1              1              1             1
240   o8_t2_ap_d1   o8_t2_rp_d1              0              0              0              0              0            1            1            1              0              0              0              0              0             1
241   o8_t2_ap_d1   o8_t2_rp_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
242   o8_t2_ap_d2   o8_t2_mf_d1              0              0              0              0              0            1            1            1              0              0              0              0              1             1
243   o8_t2_ap_d2   o8_t2_mf_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             1
244   o8_t2_ap_d2   o8_t2_rp_d1              1              0              0              0              0            1            1            1              0              0              0              0              1             1
245   o8_t2_ap_d2   o8_t2_rp_d2              0              0              0              0              0            1            1            1              0              0              0              0              0             1
246   o8_t2_mf_d1   o8_t2_mf_d2              1              1              1              1              1            1            0            0              1              1              1              1              1             0
247   o8_t2_mf_d1   o8_t2_rp_d1              1              1              1              1              1            1            1            1              1              1              1              1              1             0
248   o8_t2_mf_d1   o8_t2_rp_d2              0              0              0              0              0            0            0            1              0              0              0              0              0             0
249   o8_t2_mf_d2   o8_t2_rp_d1              0              0              0              0              0            0            1            1              0              0              0              0              0             1
250   o8_t2_mf_d2   o8_t2_rp_d2              0              0              0              0              0            0            1            1              0              0              0              0              0             0
251   o8_t2_rp_d1   o8_t2_rp_d2              0              0              0              0              0            0            0            1              0              0              0              0              0             0
252   o9_t1_cs_d1   o9_t1_cs_d2              1              1              1              1              1            1            1            1              1              1              1              1              1             0
